type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,municipality,icao_code,iata_code,timezone
small_airport,Shafter Airport - Minter Field,35.507401,-119.192002,NA,US,US-CA,Shafter,KMIT,MIT,America/Los_Angeles
medium_airport,Millville Municipal Airport,39.367802,-75.072197,NA,US,US-NJ,Millville,KMIV,MIV,America/New_York
small_airport,Marshalltown Municipal Airport,42.112701,-92.917801,NA,US,US-IA,Marshalltown,KMIW,MIW,America/Chicago
small_airport,Jackson Municipal Airport,43.650002,-94.986504,NA,US,US-MN,Jackson,KMJQ,MJQ,America/Chicago
small_airport,Ocean County Airport,39.92750168,-74.29239655,NA,US,US-NJ,Toms River,KMJX,MJX,America/New_York
small_airport,Miller Municipal Airport,44.5252,-98.958099,NA,US,US-SD,Miller,,MKA,America/Chicago
medium_airport,Charles B. Wheeler Downtown Airport,39.123199,-94.592796,NA,US,US-MO,Kansas City,KMKC,MKC,America/Chicago
large_airport,General Mitchell International Airport,42.947201,-87.896599,NA,US,US-WI,Milwaukee,KMKE,MKE,America/Chicago
medium_airport,Muskegon County Airport,43.169498,-86.238197,NA,US,US-MI,Muskegon,KMKG,MKG,America/Detroit
medium_airport,McKellar-Sipes Regional Airport,35.599899,-88.915604,NA,US,US-TN,Jackson,KMKL,MKL,America/Chicago
small_airport,Muskogee-Davis Regional Airport,35.656502,-95.366699,NA,US,US-OK,Muskogee,KMKO,MKO,America/Chicago
small_airport,Mankato Regional Airport,44.224781,-93.919128,NA,US,US-MN,Mankato,KMKT,MKT,America/Chicago
small_airport,Marco Island Executive Airport,25.995001,-81.672501,NA,US,US-FL,Marco Island,KMKY,MRK,America/New_York
medium_airport,Melbourne Orlando International Airport,28.1028,-80.645302,NA,US,US-FL,Melbourne,KMLB,MLB,America/New_York
medium_airport,Mc Alester Regional Airport,34.882401,-95.783501,NA,US,US-OK,Mc Alester,KMLC,MLC,America/Chicago
small_airport,Malad City Airport,42.166599,-112.296997,NA,US,US-ID,Malad City,KMLD,MLD,America/Boise
small_airport,Millard Airport,41.195877,-96.112107,NA,US,US-NE,Omaha,KMLE,MIQ,America/Chicago
small_airport,Milford Municipal-Ben and Judy Briscoe Field,38.426601,-113.012001,NA,US,US-UT,Milford,KMLF,MLF,America/Denver
medium_airport,Quad City International Airport,41.448502,-90.5075,NA,US,US-IL,Moline,KMLI,MLI,America/Chicago
small_airport,Baldwin County Regional Airport,33.154202,-83.240701,NA,US,US-GA,Milledgeville,KMLJ,MLJ,America/New_York
medium_airport,Miles City Airport - Frank Wiley Field,46.427268,-105.885372,NA,US,US-MT,Miles City,KMLS,MLS,America/Denver
small_airport,Millinocket Municipal Airport,45.6478,-68.6856,NA,US,US-ME,Millinocket,KMLT,MLT,America/New_York
medium_airport,Monroe Regional Airport,32.510899,-92.037697,NA,US,US-LA,Monroe,KMLU,MLU,America/Chicago
small_airport,Kimaam Airport,-7.9782,138.852005,AS,ID,ID-PS,Kimaam,,KMM,Asia/Jayapura
small_airport,Mammoth Yosemite Airport,37.625381,-118.84306,NA,US,US-CA,Mammoth Lakes,KMMH,MMH,America/Los_Angeles
small_airport,McMinn County Airport,35.39730072,-84.56259918,NA,US,US-TN,Athens,KMMI,MMI,America/New_York
small_airport,Southwest Minnesota Regional Airport - Marshall/Ryan Field,44.45050049,-95.82189941,NA,US,US-MN,Marshall,KMML,MML,America/Chicago
small_airport,Selfs Airport,34.231499,-90.289597,NA,US,US-MS,Marks,KMMS,MMS,America/Chicago
medium_airport,Mc Entire Joint National Guard Base,33.92079926,-80.80130005,NA,US,US-SC,Eastover,KMMT,MMT,America/New_York
medium_airport,Morristown Municipal Airport,40.799062,-74.414949,NA,US,US-NJ,Morristown,KMMU,MMU,America/New_York
small_airport,Menominee–Marinette Twin County Airport,45.126701,-87.638397,NA,US,US-MI,Menominee,KMNM,MNM,America/Menominee
small_airport,Marion Municipal Airport,40.6161994934,-83.06349945070001,NA,US,US-OH,Marion,KMNN,MNN,America/New_York
medium_airport,Mobile Regional Airport,30.6912,-88.242798,NA,US,US-AL,Mobile,KMOB,MOB,America/Chicago
medium_airport,Modesto City Co-Harry Sham Field,37.625801,-120.954002,NA,US,US-CA,Modesto,KMOD,MOD,America/Los_Angeles
small_airport,Mount Pleasant Municipal Airport,43.6217,-84.737503,NA,US,US-MI,Mount Pleasant,KMOP,MOP,America/Detroit
small_airport,Morristown Regional Airport,36.179401,-83.375504,NA,US,US-TN,Morristown,KMOR,MOR,America/New_York
